location.name,collected,event.count,treatment.name,duplicate,sample.id,analyte,result,units,non.detect,method,cas.number,mdl,rl,event.type,SAMPLE.ID,LAB.ID.x,METHOD,CAS.NUMBER,ANALYTE,RESULT,UNITS,DILUTION,RESULT.REPORTED.TO,MDL,RL,flag,method.name,flow.vol.liter,long,lat,COLLECTED,RECEIVED
,,,,,,"Phosphorus, Total (As P)",,mg/L,FALSE,SM4500P E - P_TW M4500P E,7723-14-0,0.02,0.05,,,,,,,,,,,,,,,,,,,
,,,,,,"Phosphorus, Total (As P)",,mg/L,FALSE,SM4500P E - P_TW M4500P E,7723-14-0,0.02,0.05,,,,,,,,,,,,,,,,,,,
,,,,,,"Phosphorus, Total (As P)",,mg/L,FALSE,SM4500P E - P_TW M4500P E,7723-14-0,0.02,0.05,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,FALSE,A2-01-OT-1,"Selenium, Total",0.011,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,TRUE,A2-01-OT-1-D,"Selenium, Total",0.01,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,FALSE,A2-01-OT-2,"Selenium, Total",0.0096,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,TRUE,A2-01-OT-2-D,"Selenium, Total",0.0096,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Outflow,FALSE,A2-02-OT-1,"Selenium, Total",0.0091,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Outflow,TRUE,A2-02-OT-D,"Selenium, Total",0.008,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Inflow,FALSE,A2-02-IN,"Selenium, Total",0.0078,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Inflow,TRUE,A2-02-IN-D,"Selenium, Total",0.0088,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Outflow,FALSE,A2-03-OT-1,"Selenium, Total",0.009,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Outflow,TRUE,A2-03-OT-D-1,"Selenium, Total",0.0092,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Outflow,FALSE,A2-03-OT-2,"Selenium, Total",0.0081,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Outflow,TRUE,A2-03-OT-D-2,"Selenium, Total",0.0084,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Inflow,FALSE,A2-03-IN-2,"Selenium, Total",0.01,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Inflow,TRUE,A2-03-IN-D-2,"Selenium, Total",0.0092,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
,,,,,,"Selenium, Total",,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
,,,,,,"Selenium, Total",,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
,,,,,,"Selenium, Total",,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
,,,,,,"Selenium, Total",,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
,,,,,,"Selenium, Total",,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
,,,,,,"Selenium, Total",,mg/L,FALSE,200.8,SE,0.2,0.2,,,,,,,,,,,,,,,,,,,
