"location.name","collected","event.count","treatment.name","duplicate","sample.id","analyte","result","units","non.detect","method","cas.number","mdl","rl","event.type","lab.id.x","dilution","result.reported.to","flag","method.name","flow.vol.liter","long","lat","received","SAMPLE.ID","year"
"ARDEC","7/18/2023 16:00","Irrigation 1",NA,FALSE,"A2-01-IN-ISC","Nitrogen, Total Kjeldahl",8.7,"mg/L",FALSE,"M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN",0.1,0.5,"Inflow","HS23071046-06",1,"RL","","ISCO",NA,NA,NA,"7/18/2023 13:35","A2-01-IN-ISC","2023"
"ARDEC","7/18/2023 16:00","Irrigation 1",NA,FALSE,"A2-01-OT-ISC","Nitrogen, Total Kjeldahl",16,"mg/L",FALSE,"M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN",0.1,0.5,"Outflow","HS23071046-04",1,"RL","","ISCO",NA,NA,NA,"7/18/2023 13:35","A2-01-OT-ISC","2023"
"ARDEC","8/23/2023","Irrigation 2",NA,FALSE,"A2-02-OT-ISC-4","pH",8.17,"pH",FALSE,"EPA150.1","",0.1,0.1,"Outflow","",1,"RL","","ISCO",NA,NA,NA,"","A2-02-OT-ISC-4","2023"
"ARDEC","8/15/2023","Irrigation 2",NA,TRUE,"A2-02-OT-ISC-4-D","pH",8.18,"pH",FALSE,"EPA150.1","",0.1,0.1,"Outflow","",1,"RL","","ISCO",NA,NA,NA,"","A2-02-OT-ISC-4-D","2023"
"ARDEC","8/23/2023","Irrigation 3",NA,FALSE,"A2-03-IN-ISC-4","pH",8.15,"pH",FALSE,"EPA150.1","",0.1,0.1,"Inflow","",1,"RL","","ISCO",NA,NA,NA,"","A2-03-IN-ISC-4","2023"
"ARDEC","8/23/2023","Irrigation 3",NA,TRUE,"A2-03-IN-ISC-4-D","pH",8.09,"pH",FALSE,"EPA150.1","",0.1,0.1,"Inflow","",1,"RL","","ISCO",NA,NA,NA,"","A2-03-IN-ISC-4-D","2023"
"ARDEC","8/23/2023","Irrigation 3",NA,FALSE,"A2-03-OT-ISC-4","pH",8.16,"pH",FALSE,"EPA150.1","",0.1,0.1,"Outflow","",1,"RL","","ISCO",NA,NA,NA,"","A2-03-OT-ISC-4","2023"
"ARDEC","8/23/2023","Irrigation 3",NA,TRUE,"A2-03-OT-ISC-4-D","pH",8.12,"pH",FALSE,"EPA150.1","",0.1,0.1,"Outflow","",1,"RL","","ISCO",NA,NA,NA,"","A2-03-OT-ISC-4-D","2023"
"ARDEC","8/1/2023","Storm 1",NA,FALSE,"A2-S1-OT-ISC-4","pH",7.32,"pH",FALSE,"EPA150.1","",0.1,0.1,"Outflow","",1,"RL","","ISCO",NA,NA,NA,"","A2-S1-OT-ISC-4","2023"
"ARDEC","8/1/2023","Storm 1",NA,TRUE,"A2-S1-OT-ISC-4-D","pH",7.3,"pH",FALSE,"EPA150.1","",0.1,0.1,"Outflow","",1,"RL","","ISCO",NA,NA,NA,"","A2-S1-OT-ISC-4-D","2023"
"ARDEC","6/7/2021","Irrigation 1",NA,FALSE,"A2-01-OT-1","Phosphorus, Total (As P)",0.29,"mg/L",FALSE,"SM4500P E - P_TW M4500P E","7723-14-0",0.02,0.05,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-01-OT-1","2021"
"ARDEC","6/7/2021","Irrigation 1",NA,TRUE,"A2-01-OT-1-D","Phosphorus, Total (As P)",0.33,"mg/L",FALSE,"SM4500P E - P_TW M4500P E","7723-14-0",0.02,0.05,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-01-OT-1-D","2021"
"ARDEC","6/7/2021","Irrigation 1",NA,FALSE,"A2-01-OT-2","Phosphorus, Total (As P)",0.28,"mg/L",FALSE,"SM4500P E - P_TW M4500P E","7723-14-0",0.02,0.05,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-01-OT-2","2021"
"ARDEC","6/7/2021","Irrigation 1",NA,TRUE,"A2-01-OT-2-D","Phosphorus, Total (As P)",0.28,"mg/L",FALSE,"SM4500P E - P_TW M4500P E","7723-14-0",0.02,0.05,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-01-OT-2-D","2021"
"ARDEC","6/15/2021","Irrigation 2",NA,FALSE,"A2-02-OT-1","Phosphorus, Total (As P)",0.25,"mg/L",FALSE,"SM4500P E - P_TW M4500P E","7723-14-0",0.02,0.05,"Outflow","",NA,"","","ISCO",NA,NA,NA,"","A2-02-OT-1","2021"
